Tipo,Data,Categoria,Valor,Descrição,Origem,Erro
"Documento Principal","","Lote","","Lote Processado Manualmente","", ""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Boleto","101,46","FINOTELLI S FOMENTO MERCANTIL  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","1.080,00","47 728 442 HENRIQUE JUNIOR NUN  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","17/12/2025","Boleto","111,06","OFICIAL DE REGISTRO CIVIL DAS  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","17/12/2025","Boleto","12.631,75","ALTEC SOMBRA SOMBREADORES LTDA  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","1.299,86","FINOTELLIS FOM MERCANTIL LTDA  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","12/12/2025","Boleto","23,00","VIDAS REAIS CENTRO DE SOLUCOES  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","23/02/2026","Boleto","237,11","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","14/01/2026","Boleto","237,11","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","13/03/2026","Boleto","237,11","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","22/04/2026","Boleto","237,11","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
