Tipo,Data,Categoria,Valor,Descrição,Origem,Erro
"Documento Principal","","Lote","","Lote Processado Manualmente","", ""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Boleto","","FINOTELLI S FOMENTO MERCANTIL  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","","47 728 442 HENRIQUE JUNIOR NUN  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","","OFICIAL DE REGISTRO CIVIL DAS  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","","ALTEC SOMBRA SOMBREADORES LTDA  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","","FINOTELLIS FOM MERCANTIL LTDA  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Boleto","","VIDAS REAIS CENTRO DE SOLUCOES  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Outros","","","Lote Local",""
"Anexo","","Boleto","","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
"Anexo","","Boleto","","ELEVADORES ATLAS SCHINDLER LTD  CPF/CNPJ do beneficiário:  Data de vencimento:","Lote Local",""
