arquivo,categoria,data,valor,status
bklcom_1.pdf,Pagamentos,,,FALHA_VALOR
bklcom_10.pdf,Pagamentos,12/12/2025,"340,98",OK
bklcom_11.pdf,Pagamentos,12/12/2025,"243,16",OK
bklcom_12.pdf,Pagamentos,12/12/2025,"223,66",OK
bklcom_13.pdf,Pagamentos,12/12/2025,"223,43",OK
bklcom_14.pdf,Pagamentos,23/09/2025,"237,11",OK
bklcom_15.pdf,Pagamentos,03/12/2025,"440,35",OK
bklcom_16.pdf,Pagamentos,13/11/2025,"981,67",OK
bklcom_17.pdf,Pagamentos,13/11/2025,"2.000,00",OK
bklcom_2.pdf,Pagamentos,12/12/2025,"3.290,00",OK
bklcom_3.pdf,Pagamentos,23/12/2025,,FALHA_VALOR
bklcom_4.pdf,Pagamentos,12/12/2025,"4.157,07",OK
bklcom_5.pdf,Pagamentos,12/12/2025,"4.157,07",OK
bklcom_6.pdf,Pagamentos,12/12/2025,"568,85",OK
bklcom_7.pdf,Pagamentos,12/12/2025,"502,34",OK
bklcom_8.pdf,Pagamentos,12/12/2025,"341,33",OK
bklcom_9.pdf,Pagamentos,12/12/2025,"340,98",OK
Boleto - 11 12 2025  NF 6205.pdf,Outros,11/12/2025,"11,00",OK
Boleto - 22 12 2025  NF 6262.pdf,Outros,22/12/2025,"22,00",OK
BOLETO 82 PINHEIROS.pdf,Boleto,,"112,00",OK
BOLETO BRAZIL COMERCIO E MANUTENCAO DE EXTINTORES EIRELI - ME - PORTAL QUINTA DOS PINHEIROS - Número Tít. NFE PROD. 6290 - .PDF.pdf,Outros,26/10/2025,"562,37",OK
Boleto COND PORTAL DOS PINHEIROS- 6 Boletos.pdf,Manuteno,25/09/2025,"981,67",OK
Boleto Nf - 6132.pdf,Outros,10/11/2025,"10,00",OK
BOLETO NF 85 PINHEIROS.pdf,Erro,,,FALHA_VALOR
boleto.pdf,Outros,,"13.010,00",OK
BOLETONF77965.pdf,Outros,03/11/2025,"109,00",OK
boleto_1.pdf,Boleto,,"157,00",OK
C6Bank-boleto-266712057_251030_185344.pdf,Boleto,15/12/2025,"1.080,00",OK
C6Bank-boleto-272302224_251204_210742.pdf,Boleto,15/12/2025,"254,75",OK
cf90893b-c59a-47c0-9320-a1e032285ec4.pdf,Luz,16/12/2025,"559,35",OK
COND. QUINTA DOS PINHEIROS (2).pdf,Outros,,"1,00",OK
CONDOMINIO PORTAL QUINTA DOS PINHEIROS.nf (1).pdf,Nota Fiscal / Produto,,"12.631,75",OK
DANFE 2167 - PORTAL QUINTA DOS PINHEIROS.pdf,Nota Fiscal / Produto,14/11/2025,,FALHA_VALOR
